Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
07:08.7,0.1021,0.0208,-0.9406,-0.0049,0.0284,-0.0493,0.1027,-0.0284,-2.5584,,,0,65.6429,0,Automotive,High
07:08.8,0.0567,0.0215,-1.02,0,0.0323,0.081,0.1013,-0.0284,-2.5588,,,0,65.6429,0,Automotive,High
07:08.9,0.0741,0.0389,-0.982,0.0039,0.0605,-0.0375,0.1012,-0.0271,-2.5522,,,0,65.6429,0,Automotive,High
07:09.0,0.1097,0.0138,-0.9978,-0.004,0.0147,-0.03,0.1037,-0.0277,-2.5564,,,0,65.6429,0,Automotive,High
07:09.1,0.053,0.0228,-1.0016,0.0015,0.0333,0.0607,0.1036,-0.0282,-2.5594,,,0,65.6429,0,Automotive,High
07:09.2,0.0799,0.0267,-1.0379,0.0073,0.0253,-0.0736,0.104,-0.0284,-2.554,,,0,65.6429,0,Automotive,High
07:09.3,0.1018,0.0166,-1.0353,-0.0012,0.0138,-0.0054,0.1052,-0.0284,-2.5575,,,0,65.6429,0,Automotive,High
07:09.4,0.0595,0.0407,-1.0399,0.0015,0.0076,0.0277,0.1066,-0.0246,-2.5553,,,0,65.6429,0,Automotive,High
07:09.5,0.1136,0.0076,-1.0194,-0.0072,0.0014,-0.1314,0.1036,-0.0256,-2.5593,,,0,65.6429,0,Automotive,High
07:09.6,0.0858,0.0444,-1.0267,-0.0083,0.0509,-0.0046,0.1051,-0.0259,-2.5632,,,0,65.6429,0,Automotive,High
07:09.7,0.115,0.0405,-1.0713,0.0053,-0.0436,-0.0136,0.1036,-0.0263,-2.5614,,,0,65.6429,0,Automotive,High
07:09.8,0.1003,0.0355,-1.0517,-0.0015,-0.0767,-0.0168,0.0991,-0.0265,-2.5634,,,0,65.6429,0,Automotive,High
07:09.9,0.1136,-0.0046,-1.0186,0.0006,-0.0393,0.0076,0.0953,-0.0268,-2.5647,,,0,65.6429,0,Automotive,High
07:10.0,0.0466,-0.0143,-1.0183,-0.0163,-0.0031,0.0723,0.0942,-0.0236,-2.5635,,,0,65.6429,0,Automotive,High
07:10.1,0.1054,0.0303,-1.0311,-0.0051,0.007,-0.0801,0.0899,-0.0225,-2.5615,,,0,65.6429,0,Automotive,High
07:10.2,0.1039,0.0611,-1.0199,-0.0239,0.0209,-0.0005,0.088,-0.024,-2.5656,,,0,65.6429,0,Automotive,High
07:10.3,0.0887,0.0311,-1.0297,-0.0202,0.0433,0.0069,0.0941,-0.0273,-2.5654,,,0,65.6429,0,Automotive,High
07:10.4,0.0837,0.023,-0.9742,-0.0159,0.0315,-0.0399,0.0953,-0.0282,-2.5662,,,0,65.6429,0,Automotive,High
07:10.5,0.072,0.0347,-0.972,-0.0278,-0.0121,0.0134,0.0951,-0.0297,-2.5677,,,0,65.6429,0,Automotive,High
07:10.6,0.0532,0.0003,-0.9692,-0.0156,0.0306,0.0028,0.091,-0.0304,-2.5615,,,0,65.6429,0,Automotive,High
07:10.7,0.0832,0.0135,-0.9673,-0.0137,0.0654,-0.0763,0.0912,-0.031,-2.5614,,,0,65.6429,0,Automotive,Low
07:10.8,0.0785,0.0414,-0.9895,-0.0177,0.0615,0.0261,0.0914,-0.0315,-2.5664,,,0,65.6429,0,Automotive,Low
07:10.9,0.0599,0.0235,-0.9431,-0.0127,0.0072,-0.0152,0.091,-0.0338,-2.5641,,,0,65.6429,0,Automotive,Low
07:11.0,0.0491,-0.0001,-0.972,-0.0145,0.0018,-0.0259,0.0877,-0.0346,-2.5632,,,0,65.6429,0,Automotive,High
07:11.1,0.0661,0.0558,-0.9769,-0.0084,-0.0002,-0.0108,0.086,-0.0345,-2.5667,,,0,65.6429,0,Automotive,High
07:11.2,0.0635,0.0084,-0.9386,-0.0027,-0.0161,-0.0117,0.0798,-0.0343,-2.566,,,0,65.6429,0,Automotive,High
07:11.3,0.0825,0.0195,-1.0139,0,-0.0437,-0.0148,0.079,-0.0336,-2.5681,,,0,65.6429,0,Automotive,Low
07:11.4,0.084,0.0547,-0.9692,-0.0071,-0.0524,-0.0266,0.0758,-0.0333,-2.5679,,,0,65.6429,0,Automotive,Low
07:11.5,0.1168,0.0257,-0.986,-0.0042,-0.0311,-0.033,0.076,-0.0333,-2.5707,,,0,65.6429,0,Automotive,Low
07:11.6,0.0751,0.0526,-0.9733,-0.0176,0.0168,0.0092,0.0762,-0.0337,-2.5733,,,0,66.6785,0,Automotive,Low
07:11.7,0.0901,0.0644,-1.0021,-0.0086,0.0179,-0.0173,0.0749,-0.0337,-2.5717,,,0,66.6785,0,Automotive,Low
07:11.8,0.1325,0.0367,-0.9738,-0.0005,-0.0181,-0.0117,0.0779,-0.0334,-2.5723,,,0,66.6785,0,Automotive,Low
07:11.9,0.1241,0.0699,-0.9473,-0.003,0.0031,-0.0118,0.079,-0.0335,-2.5724,,,0,66.6785,0,Automotive,High
07:12.0,0.1132,0.033,-1.0229,-0.0028,-0.0266,0.0065,0.0784,-0.0327,-2.5724,,,0,66.6785,0,Automotive,High
07:12.1,0.0938,0.017,-0.9342,-0.0108,0.0785,-0.0155,0.0796,-0.0341,-2.5718,,,0,66.6785,0,Automotive,High
07:12.2,0.1022,0.0344,-0.9944,-0.004,0.0052,-0.0214,0.08,-0.0341,-2.5718,,,0,66.6785,0,Automotive,Low
07:12.3,0.0748,0.0415,-1.0398,-0.01,0.0306,-0.0099,0.0791,-0.0347,-2.5705,,,0,66.6785,0,Automotive,Low
07:12.4,0.0853,0.0145,-1.0104,-0.0059,-0.0172,-0.0096,0.079,-0.0344,-2.5706,,,0,66.6785,0,Automotive,Low
07:12.5,0.1021,0.0321,-0.9753,-0.0031,-0.049,-0.0127,0.0768,-0.0341,-2.571,,,0,66.6785,0,Automotive,Low
07:12.6,0.1009,0.0396,-0.9298,-0.0081,0.04,-0.0622,0.0754,-0.0346,-2.571,,,0,66.6785,0,Automotive,Low
07:12.7,0.0804,0.0573,-1.0276,-0.0105,-0.0021,0.0489,0.0752,-0.0336,-2.5741,,,0,66.6785,0,Automotive,Low
07:12.8,0.0657,0.0473,-0.9734,0.004,0.0255,-0.0128,0.0738,-0.0338,-2.5711,,,0,66.6785,0,Automotive,Low
07:12.9,0.0797,0.0278,-1.0111,-0.0054,0.0325,-0.0845,0.073,-0.033,-2.569,,,0,66.6785,0,Automotive,High
07:13.0,0.0789,0.0368,-0.9765,-0.0083,0.0054,0.0382,0.0742,-0.0311,-2.5727,,,0,66.6785,0,Automotive,High
07:13.1,0.1023,0.056,-0.9708,0.0074,0.0115,-0.0639,0.0769,-0.0316,-2.5713,,,0,66.6785,0,Automotive,High
07:13.2,0.0763,0.0235,-0.986,0.0063,0.016,-0.0106,0.0785,-0.0318,-2.5751,,,0,66.6785,0,Automotive,Low
07:13.3,0.0494,0.0339,-1.0573,0.0062,0.0023,0.0108,0.0807,-0.03,-2.5699,,,0,66.6785,0,Automotive,Low
07:13.4,0.1025,0.0055,-1.0091,0.0099,0.0477,-0.064,0.0809,-0.0291,-2.5699,,,0,66.6785,0,Automotive,Low
07:13.5,0.0591,-0.0066,-0.9918,0.0003,0.05,-0.0077,0.0832,-0.0279,-2.5731,,,0,66.6785,0,Automotive,Low
07:13.6,0.1139,0.0084,-0.9577,0.0149,0.0948,-0.0343,0.0821,-0.0267,-2.5728,,,0,66.6785,0,Automotive,Low
07:13.7,0.0647,0.0207,-1.0672,0.0152,-0.0157,0.0014,0.0885,-0.0249,-2.5743,,,0,66.6785,0,Automotive,Low
07:13.8,0.0716,0.0033,-1.0418,0.0149,0.0035,0.0013,0.0864,-0.0246,-2.5741,,,0,66.6785,0,Automotive,High
07:13.9,0.0937,-0.0045,-1.0789,0.017,-0.0275,-0.0263,0.082,-0.0195,-2.5715,,,0,66.6785,0,Automotive,High
07:14.0,0.0804,0.0181,-1.0935,-0.0016,-0.0105,0.0363,0.0795,-0.0186,-2.5709,,,0,66.6785,0,Automotive,High
07:14.1,0.0508,0.0224,-1.0133,0.006,0.0246,-0.0011,0.0785,-0.0169,-2.5689,,,0,66.6785,0,Automotive,High
07:14.2,0.1117,0.0161,-1.029,0.0048,-0.0162,-0.0713,0.0788,-0.0167,-2.5712,,,0,66.6785,0,Automotive,High
07:14.3,0.1124,0.0342,-1.0593,0.0025,-0.0051,0.0438,0.0802,-0.0176,-2.5745,,,0,66.6785,0,Automotive,High
07:14.4,0.0511,0.0252,-1.089,-0.0008,-0.0139,-0.0032,0.0781,-0.0161,-2.5689,,,0,66.6785,0,Automotive,High
07:14.5,0.1229,0.0229,-1.009,0.0057,-0.0521,-0.0253,0.0752,-0.0151,-2.5674,,,0,66.6785,0,Automotive,High
07:14.6,0.1051,0.0258,-1.067,-0.0023,-0.05,-0.002,0.0745,-0.0145,-2.5711,,,0,66.6785,0,Automotive,High
07:14.7,0.1017,0.0007,-1.1189,-0.01,-0.0067,-0.03,0.0756,-0.0153,-2.5703,,,0,66.6785,0,Automotive,High
07:14.8,0.0956,0.0063,-1.0619,-0.0128,0.0159,0.0424,0.0803,-0.0162,-2.57,,,0,66.6785,0,Automotive,High
07:14.9,0.0885,0.0257,-1.0756,-0.0068,-0.0225,-0.0128,0.0809,-0.0176,-2.5672,,,0,66.6785,0,Automotive,High
07:15.0,0.112,0.0367,-1.0532,-0.0031,-0.0001,-0.0075,0.082,-0.0171,-2.5674,,,0,66.6785,0,Automotive,High
07:15.1,0.1044,0.0185,-1.0469,-0.0083,-0.0439,-0.0277,0.0835,-0.0189,-2.5676,,,0,66.6785,0,Automotive,High
07:15.2,0.1281,0.0279,-1.0173,-0.01,-0.0332,-0.0064,0.0843,-0.0193,-2.5686,,,0,66.6785,0,Automotive,High
07:15.3,0.1137,0.0681,-1.0666,-0.0036,-0.0563,0.0215,0.0865,-0.0209,-2.5687,,,0,66.6785,0,Automotive,High
07:15.4,0.1167,0.0228,-0.9355,0.0107,-0.0467,-0.0103,0.0835,-0.022,-2.5673,,,0,66.6785,0,Automotive,High
07:15.5,0.0996,0.0157,-1.008,-0.0059,-0.0532,0.0236,0.0829,-0.0228,-2.5671,,,0,66.6785,0,Automotive,Low
07:15.6,0.1036,0.007,-1.0044,0.0024,-0.0702,-0.0018,0.0795,-0.0222,-2.5664,,,0,66.6785,0,Automotive,Low
07:15.7,0.1186,-0.0071,-1.0909,0.004,-0.0621,-0.0946,0.0743,-0.0229,-2.5671,,,0,66.6785,0,Automotive,Low
07:15.8,0.0749,0.0427,-1.083,-0.0047,-0.0211,0.0459,0.0729,-0.0229,-2.569,,,0,66.6785,0,Automotive,Low
07:15.9,0.1071,0.0547,-1.043,0.0031,-0.0394,-0.0126,0.0725,-0.0232,-2.5658,,,0,66.6785,0,Automotive,Low
07:16.0,0.0811,0.0293,-1.0626,0.0028,-0.0266,-0.0094,0.0719,-0.0222,-2.5677,,,0,66.6785,0,Automotive,Low
07:16.1,0.0572,-0.017,-1.009,-0.0037,0.0331,0.0499,0.071,-0.0214,-2.5657,,,0,66.6785,0,Automotive,High
07:16.2,0.0608,0.0323,-1.0259,0,0.0604,-0.0579,0.0704,-0.0202,-2.5611,,,0,66.6785,0,Automotive,High
07:16.3,0.0778,0.0185,-1.0582,-0.0007,0.0425,-0.0034,0.0727,-0.0206,-2.5631,,,0,66.6785,0,Automotive,High
07:16.4,0.0527,0.019,-1.0259,-0.0058,0.067,0.0167,0.0758,-0.0212,-2.5644,,,0,66.6785,0,Automotive,High
07:16.5,0.0814,0.0543,-1.0483,-0.0016,0.0988,-0.0132,0.0787,-0.0194,-2.5617,,,0,66.6785,0,Automotive,High
07:16.6,0.1014,0.0162,-1.056,-0.0102,0.0508,-0.0196,0.0816,-0.0198,-2.563,,,0,66.6785,0,Automotive,High
07:16.7,0.0846,0.0141,-1.0419,-0.0101,0.0222,0.0019,0.0875,-0.0196,-2.562,,,0,66.6785,0,Automotive,High
07:16.8,0.0927,0.0545,-1.0435,-0.0054,0.0158,-0.014,0.089,-0.0208,-2.5633,,,0,66.6785,0,Automotive,High
