Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence
22:51.7,0.0818,-0.0157,-1.1245,0.0061,0.0915,-0.0152,0.0836,-0.0093,1.7962,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.8,0.0398,0.0165,-1.1252,-0.0071,-0.0214,0.0021,0.0912,-0.0085,1.7959,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:51.9,0.0505,-0.0071,-1.1007,-0.0088,0.019,-0.0077,0.0914,-0.0086,1.7965,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:52.0,0.0908,0.009,-1.1447,-0.0101,0.0402,-0.0131,0.0947,-0.0091,1.7965,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:52.1,0.068,-0.0023,-1.089,-0.0128,0.0051,-0.0077,0.0967,-0.0109,1.7967,40.081789,-104.671777,285.3937,178.0727,10311.54883,Automotive,High
22:52.2,0.0936,-0.0058,-1.0363,-0.024,-0.0217,-0.0089,0.0957,-0.0113,1.7964,39.895219,-104.686641,207.4315,178.0727,5484.623047,Automotive,High
22:52.3,0.081,-0.0153,-1.0052,-0.0176,-0.0227,-0.0109,0.0941,-0.0135,1.7963,39.895219,-104.686641,207.4315,178.0727,5484.623047,Automotive,High
22:52.4,0.0583,-0.017,-0.9637,-0.0206,-0.0344,-0.0066,0.0912,-0.0142,1.7963,39.895219,-104.686641,207.4315,178.0727,5484.623047,Automotive,High
22:52.5,0.0564,-0.0097,-0.9725,-0.0114,-0.013,-0.0076,0.0878,-0.0161,1.796,39.895219,-104.686641,207.4315,178.0727,5484.623047,Automotive,High
22:52.6,0.08,0.005,-0.9963,-0.0225,-0.044,-0.0098,0.0854,-0.0173,1.7959,39.895219,-104.686641,207.4315,178.0727,5484.623047,Automotive,High
22:52.7,0.0806,-0.0329,-1.0073,-0.0017,-0.0128,-0.0085,0.0827,-0.0175,1.7955,39.895219,-104.686641,207.4315,178.0727,5484.623047,Automotive,High
